deg,width,T,func,sigma,trace_before,trace_after,trace_delta,top_eig_before,top_eig_after
1,1,20,0,0.0001,279.5367105528712,339.9538416253484,60.41713107247716,264.4375,271.57513427734375
1,1,20,0,1e-06,279.5367118701339,319.3929987601612,39.85628689002732,264.4375,264.51812744140625
1,1,20,0,1e-08,279.53671015948055,279.5703859038651,0.033675744384538575,264.4375,264.5047607421875
1,1,20,1,0.0001,344.73244348099064,342.28191211006856,-2.4505313709220786,261.1551513671875,257.2850036621094
1,1,20,1,1e-06,344.73243996015816,344.3771332932073,-0.35530666695086666,261.1551513671875,260.8177795410156
1,1,20,1,1e-08,344.7324397688688,344.7521884219591,0.01974865309028928,261.1551513671875,261.1205139160156
1,1,20,2,0.0001,310.66051396301816,308.95623972694926,-1.7042742360688976,264.3927001953125,257.1650695800781
1,1,20,2,1e-06,310.6605136990547,332.97884967082587,22.31833597177115,264.3927001953125,264.45684814453125
1,1,20,2,1e-08,310.6605128986495,310.83662325143814,0.17611035278866893,264.3926696777344,264.6090393066406
1,1,20,3,0.0001,313.30958870001007,375.35527204415376,62.0456833441437,279.51409912109375,283.244140625
1,1,20,3,1e-06,313.3095870394456,313.76261555521114,0.4530285157655385,279.51409912109375,279.510009765625
1,1,20,3,1e-08,313.309586667178,313.43206623980876,0.12247957263076614,279.51409912109375,279.66766357421875
1,1,20,4,0.0001,270.77718859209733,275.283405204614,4.506216612516653,267.5738525390625,274.0755310058594
1,1,20,4,1e-06,270.7771869932904,245.66116194291547,-25.11602505037493,267.5738220214844,267.37249755859375
1,1,20,4,1e-08,270.7771868109703,270.8573053444133,0.0801185334429988,267.5738525390625,267.6395263671875
1,1,40,0,0.0001,387.92208347129235,358.0078726410866,-29.914210830205775,288.4693603515625,289.63018798828125
1,1,40,0,1e-06,387.9220832063828,388.09917830537864,0.1770950989958351,288.4693603515625,288.3125
1,1,40,0,1e-08,387.9220830650977,387.8034813602765,-0.11860170482117383,288.4693603515625,288.3582763671875
1,1,40,1,0.0001,295.1471253006082,224.13766368742913,-71.00946161317907,268.7698059082031,276.80963134765625
1,1,40,1,1e-06,295.1471250998346,294.3676150786249,-0.7795100212097168,268.7698669433594,268.686279296875
1,1,40,1,1e-08,295.14712594057386,295.0334987075705,-0.1136272330033421,268.7698669433594,268.7016906738281
1,1,40,2,0.0001,354.59663818920814,333.2252197115167,-21.371418477691464,279.87353515625,276.2122802734375
1,1,40,2,1e-06,354.59663926337356,353.6033422389338,-0.9932970244397552,279.87353515625,279.1443176269531
1,1,40,2,1e-08,354.59663635364143,354.558229211838,-0.0384071418034182,279.87353515625,279.7904968261719
1,1,40,3,0.0001,266.84513777787566,264.0983350276947,-2.7468027501809615,257.71417236328125,246.23208618164062
1,1,40,3,1e-06,266.8451384110529,266.3341241781829,-0.5110142328700249,257.71417236328125,256.94879150390625
1,1,40,3,1e-08,266.8451381609088,266.77018493560496,-0.07495322530382964,257.71417236328125,257.5906066894531
1,1,40,4,0.0001,300.3954558107588,326.4041885962853,26.00873278552649,270.65484619140625,260.306640625
1,1,40,4,1e-06,300.395455704795,300.94369316101074,0.5482374562157588,270.65484619140625,269.9739685058594
1,1,40,4,1e-08,300.3954580359989,300.4522765477498,0.05681851175091879,270.65484619140625,270.71331787109375
1,7,20,0,0.0001,1095.482982758553,807.324824890533,-288.1581578680199,716.50341796875,612.6622924804688
1,7,20,0,1e-06,1095.4829615931358,916.0921054766017,-179.3908561165341,716.50341796875,720.7108764648438
1,7,20,0,1e-08,1095.4829549481792,1094.4389766570062,-1.0439782911730617,716.5034790039062,715.732421875
1,7,20,1,0.0001,1221.9743516710068,1329.8465955461775,107.87224387517062,1086.645751953125,1044.9771728515625
1,7,20,1,1e-06,1221.97435675727,1225.2687923290111,3.2944355717411327,1086.645751953125,1099.251220703125
1,7,20,1,1e-08,1221.9743590178314,1223.0120846783673,1.037725660535898,1086.645751953125,1086.177490234375
1,7,20,2,0.0001,1243.4295959472656,1433.9622218919837,190.53262594471812,1036.7962646484375,1041.4984130859375
1,7,20,2,1e-06,1243.4296244303384,1647.1155671512379,403.68594272089945,1036.7962646484375,1043.9195556640625
1,7,20,2,1e-08,1243.4296061197917,1245.9549769083658,2.525370788574037,1036.79638671875,1038.7042236328125
1,7,20,3,0.0001,1643.987623002794,2082.903206902581,438.9155838997872,1031.119384765625,1402.9464111328125
1,7,20,3,1e-06,1643.9876255459255,1657.3359391495987,13.348313603673205,1031.119384765625,1042.1363525390625
1,7,20,3,1e-08,1643.987617280748,1675.6843634711372,31.69674619038915,1031.119384765625,1030.734619140625
1,7,20,4,0.0001,874.373896198888,996.5290994951802,122.15520329629214,821.6822509765625,971.9241333007812
1,7,20,4,1e-06,874.3738913997527,955.0165841844347,80.64269278468203,821.6822509765625,805.280029296875
1,7,20,4,1e-08,874.373896198888,873.9141977371708,-0.4596984617172666,821.6822509765625,820.9435424804688
1,7,40,0,0.0001,1821.4843499319893,1971.9012366400825,150.41688670809322,1241.054443359375,1259.431884765625
1,7,40,0,1e-06,1821.4843339465913,1898.5791918436687,77.09485789707742,1241.054443359375,1250.386962890625
1,7,40,0,1e-08,1821.4843179611933,1819.2710447765533,-2.213273184640002,1241.054443359375,1238.5174560546875
1,7,40,1,0.0001,1224.3913641709548,1383.9122673882378,159.52090321728292,908.0845947265625,998.7583618164062
1,7,40,1,1e-06,1224.3913470537234,1234.9378154407848,10.546468387061395,908.0845947265625,911.8855590820312
1,7,40,1,1e-08,1224.3913547809307,1223.935639308049,-0.4557154728815931,908.0845947265625,907.9873046875
1,7,40,2,0.0001,1745.5303121294294,2261.777424973708,516.2471128442787,1402.963623046875,1843.7054443359375
1,7,40,2,1e-06,1745.5303275698707,1750.390719822475,4.8603922526042425,1402.9637451171875,1387.2833251953125
1,7,40,2,1e-08,1745.5303144909087,1746.352936880929,0.8226223900203422,1402.9637451171875,1404.5811767578125
1,7,40,3,0.0001,1360.9466617468631,1641.6993976169163,280.75273587005313,1286.78173828125,1467.4622802734375
1,7,40,3,1e-06,1360.946655735825,1344.3928265778916,-16.553829157933478,1286.7818603515625,1267.7469482421875
1,7,40,3,1e-08,1360.9466677579012,1358.3402277628581,-2.606439995043047,1286.7818603515625,1283.72119140625
1,7,40,4,0.0001,1726.8202910131338,1571.4144585188044,-155.4058324943294,1182.830810546875,1071.9232177734375
1,7,40,4,1e-06,1726.820312188596,1730.5332722566566,3.712960068060511,1182.830810546875,1198.2615966796875
1,7,40,4,1e-08,1726.8203022236726,1382.739981515067,-344.08032070860554,1182.830810546875,1179.693603515625
1,14,20,0,0.0001,2170.6631329147904,1795.1833351982964,-375.479797716494,1777.4505615234375,1494.010498046875
1,14,20,0,1e-06,2170.663135599207,2184.3075813010887,13.644445701881523,1777.4505615234375,1795.0174560546875
1,14,20,0,1e-08,2170.6631330560754,2175.1421756037957,4.479042547720383,1777.4505615234375,1781.6446533203125
1,14,20,1,0.0001,2742.0389131818497,3186.2472170661476,444.20830388429795,2576.473388671875,2071.85205078125
1,14,20,1,1e-06,2742.0389469691686,3323.7952247475678,581.7562777783992,2576.473388671875,2612.17919921875
1,14,20,1,1e-08,2742.0389709472656,2743.2550419398717,1.2160709926060917,2576.473388671875,2574.582763671875
1,14,20,2,0.0001,2926.521236673991,2594.375613530477,-332.14562314351406,1936.4171142578125,2033.232177734375
1,14,20,2,1e-06,2926.5212305704754,2917.4102503458657,-9.110980224609648,1936.4171142578125,1918.396484375
1,14,20,2,1e-08,2926.5212346394856,2927.2514719645183,0.7302373250327037,1936.4171142578125,1937.8858642578125
1,14,20,3,0.0001,3250.436474609375,3281.733105795724,31.296631186348804,2340.936767578125,2358.951171875
1,14,20,3,1e-06,3250.436458333333,3290.3020467122396,39.86558837890652,2340.936767578125,2380.21484375
1,14,20,3,1e-08,3250.4364786783854,3250.6616556803388,0.22517700195339785,2340.936767578125,2341.3779296875
1,14,20,4,0.0001,2882.6725485665456,2507.6225501850085,-375.0499983815371,2235.2109375,2030.187255859375
1,14,20,4,1e-06,2882.6725245884486,2897.024941580636,14.3524169921875,2235.2109375,2251.104248046875
1,14,20,4,1e-08,2882.672535487584,2883.2146006992884,0.5420652117045393,2235.2109375,2237.6865234375
1,14,40,0,0.0001,2498.053277151925,2740.0158384274214,241.96256127549623,2511.505126953125,2783.69140625
1,14,40,0,1e-06,2498.053255353655,2714.048512178309,215.995256824654,2511.505126953125,2415.508056640625
1,14,40,0,1e-08,2498.053255353655,2803.9250410491345,305.8717856954795,2511.505126953125,2527.69384765625
1,14,40,1,0.0001,2690.161208767361,3166.211292690701,476.05008392334,2183.782470703125,3054.348876953125
1,14,40,1,1e-06,2690.1612399631076,2706.0328783307755,15.871638367667856,2183.782470703125,2185.600341796875
1,14,40,1,1e-08,2690.1612250434027,2689.338097466363,-0.8231275770399407,2183.782470703125,2183.736572265625
